Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-3.1136E-1	2.8076E-1	-3.1136E-1	2.9000E+2
-3.1124E-1	2.8101E-1	-3.1124E-1	5.6900E+2
-3.1112E-1	2.7808E-1	-3.1112E-1	4.4100E+2
-3.1112E-1	2.7710E-1	-3.1112E-1	8.0000E+2
-3.1099E-1	2.7832E-1	-3.1099E-1	2.2300E+2
-3.1087E-1	2.7588E-1	-3.1087E-1	8.8400E+2
-3.1075E-1	2.7612E-1	-3.1075E-1	1.0300E+2
-3.1063E-1	2.7734E-1	-3.1063E-1	4.6200E+2
-3.1050E-1	2.7588E-1	-3.1050E-1	2.1600E+2
-3.1038E-1	2.7466E-1	-3.1038E-1	3.4700E+2
-3.1026E-1	2.7441E-1	-3.1026E-1	6.6400E+2
-3.1026E-1	2.7173E-1	-3.1026E-1	7.2700E+2
-3.1014E-1	2.7148E-1	-3.1014E-1	5.7800E+2
-3.1002E-1	2.7344E-1	-3.1002E-1	6.3300E+2
-3.0989E-1	2.7295E-1	-3.0989E-1	8.9100E+2
-3.0977E-1	2.7222E-1	-3.0977E-1	6.6900E+2
-3.0965E-1	2.6978E-1	-3.0965E-1	5.0200E+2
-3.0953E-1	2.7100E-1	-3.0953E-1	5.9800E+2
-3.0953E-1	2.7173E-1	-3.0953E-1	1.4500E+2
-3.0941E-1	2.7246E-1	-3.0941E-1	6.0900E+2
-3.0928E-1	2.7051E-1	-3.0928E-1	7.1600E+2
-3.0916E-1	2.6807E-1	-3.0916E-1	7.7300E+2
-3.0904E-1	2.6782E-1	-3.0904E-1	4.6000E+2
-3.0892E-1	2.6782E-1	-3.0892E-1	5.3800E+2
-3.0880E-1	2.6855E-1	-3.0880E-1	4.9200E+2
-3.0867E-1	2.6929E-1	-3.0867E-1	1.5430E+3
-3.0867E-1	2.6855E-1	-3.0867E-1	-2.5000E+1
-3.0855E-1	2.6733E-1	-3.0855E-1	3.2700E+2
-3.0843E-1	2.6709E-1	-3.0843E-1	-2.5400E+2
-3.0831E-1	2.6465E-1	-3.0831E-1	4.4100E+2
-3.0819E-1	2.6636E-1	-3.0819E-1	7.2000E+1
-3.0806E-1	2.6587E-1	-3.0806E-1	3.4300E+2
-3.0794E-1	2.6343E-1	-3.0794E-1	-4.3000E+1
-3.0794E-1	2.6465E-1	-3.0794E-1	3.0300E+2
-3.0782E-1	2.6465E-1	-3.0782E-1	3.2700E+2
-3.0770E-1	2.6318E-1	-3.0770E-1	2.7600E+2
-3.0757E-1	2.6270E-1	-3.0757E-1	4.9100E+2
-3.0745E-1	2.6172E-1	-3.0745E-1	6.5500E+2
-3.0733E-1	2.6074E-1	-3.0733E-1	-2.1000E+2
-3.0721E-1	2.6294E-1	-3.0721E-1	-4.5000E+1
-3.0721E-1	2.6318E-1	-3.0721E-1	1.0100E+3
-3.0709E-1	2.6099E-1	-3.0709E-1	1.0360E+3
-3.0696E-1	2.6318E-1	-3.0696E-1	7.5100E+2
-3.0684E-1	2.6196E-1	-3.0684E-1	1.2770E+3
-3.0672E-1	2.5952E-1	-3.0672E-1	2.3400E+2
-3.0660E-1	2.6221E-1	-3.0660E-1	9.0500E+2
-3.0648E-1	2.6001E-1	-3.0648E-1	1.2500E+2
-3.0635E-1	2.5757E-1	-3.0635E-1	2.6500E+2
-3.0635E-1	2.5757E-1	-3.0635E-1	5.8500E+2
-3.0623E-1	2.5854E-1	-3.0623E-1	1.6800E+2
-3.0611E-1	2.5635E-1	-3.0611E-1	1.1160E+3
-3.0599E-1	2.5757E-1	-3.0599E-1	5.2800E+2
-3.0587E-1	2.5732E-1	-3.0587E-1	7.1300E+2
