Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-4.9033E-1	7.0239E-1	-4.9033E-1	-1.8090E+3
-4.9020E-1	7.0215E-1	-4.9020E-1	-6.8700E+2
-4.9008E-1	7.0215E-1	-4.9008E-1	-1.4100E+2
-4.8984E-1	6.9897E-1	-4.8984E-1	1.6950E+3
-4.8971E-1	6.9629E-1	-4.8971E-1	1.9870E+3
-4.8959E-1	6.9019E-1	-4.8959E-1	2.6740E+3
-4.8947E-1	6.8066E-1	-4.8947E-1	2.7690E+3
-4.8923E-1	6.7676E-1	-4.8923E-1	2.7380E+3
-4.8910E-1	6.7310E-1	-4.8910E-1	2.7050E+3
-4.8898E-1	6.6992E-1	-4.8898E-1	1.5780E+3
-4.8886E-1	6.6602E-1	-4.8886E-1	2.0040E+3
-4.8862E-1	6.6016E-1	-4.8862E-1	1.8660E+3
-4.8849E-1	6.5747E-1	-4.8849E-1	1.2870E+3
-4.8837E-1	6.5479E-1	-4.8837E-1	1.0790E+3
-4.8813E-1	6.4966E-1	-4.8813E-1	8.9400E+2
-4.8801E-1	6.4893E-1	-4.8801E-1	9.6200E+2
-4.8788E-1	6.4404E-1	-4.8788E-1	2.7600E+2
-4.8776E-1	6.4233E-1	-4.8776E-1	1.2960E+3
-4.8752E-1	6.3965E-1	-4.8752E-1	9.0600E+2
-4.8740E-1	6.4014E-1	-4.8740E-1	3.4400E+2
-4.8727E-1	6.3843E-1	-4.8727E-1	3.8900E+2
-4.8703E-1	6.3892E-1	-4.8703E-1	3.6300E+2
-4.8691E-1	6.3574E-1	-4.8691E-1	1.2000E+1
-4.8679E-1	6.3501E-1	-4.8679E-1	4.8900E+2
-4.8666E-1	6.3379E-1	-4.8666E-1	9.4000E+2
-4.8642E-1	6.3306E-1	-4.8642E-1	5.2000E+1
-4.8630E-1	6.3159E-1	-4.8630E-1	1.7400E+2
-4.8617E-1	6.3086E-1	-4.8617E-1	1.8300E+2
-4.8605E-1	6.2915E-1	-4.8605E-1	5.4400E+2
-4.8581E-1	6.2842E-1	-4.8581E-1	1.0770E+3
-4.8569E-1	6.2891E-1	-4.8569E-1	4.1500E+2
-4.8556E-1	6.2695E-1	-4.8556E-1	5.9400E+2
-4.8532E-1	6.2524E-1	-4.8532E-1	3.6700E+2
-4.8520E-1	6.2744E-1	-4.8520E-1	5.8100E+2
