Aux out [V]	Aux in [V]	PDH out [a.u.]
-1.2104E-1	8.8599E-1	1.9000E+1
-1.1909E-1	8.8647E-1	-4.6700E+2
-1.1713E-1	8.8428E-1	-4.7200E+2
-1.1518E-1	8.8647E-1	-7.2000E+2
-1.1298E-1	8.8550E-1	-4.2000E+2
-1.1103E-1	8.8647E-1	-6.8700E+2
-1.0908E-1	8.8525E-1	-8.7600E+2
-1.0712E-1	8.8574E-1	-1.0550E+3
-1.0517E-1	8.8599E-1	-4.3600E+2
-1.0322E-1	8.8501E-1	-1.1000E+2
-1.0102E-1	8.8525E-1	-3.6300E+2
-9.9066E-2	8.8647E-1	-6.9100E+2
-9.7113E-2	8.8599E-1	-4.0900E+2
-9.5160E-2	8.8525E-1	-4.4000E+2
-9.3206E-2	8.8403E-1	-9.2000E+2
-9.1009E-2	8.8428E-1	-1.9200E+2
-8.9056E-2	8.8672E-1	-5.5800E+2
-8.7102E-2	8.8501E-1	-4.9300E+2
-8.5149E-2	8.8574E-1	-3.5900E+2
-8.3196E-2	8.8525E-1	3.4000E+1
-8.1243E-2	8.8403E-1	-2.7000E+2
-7.9045E-2	8.8403E-1	-7.7100E+2
-7.7092E-2	8.8452E-1	-8.0200E+2
-7.5139E-2	8.8477E-1	-4.7300E+2
-7.3186E-2	8.8428E-1	-3.5400E+2
-7.1232E-2	8.8379E-1	-1.5600E+2
-6.9035E-2	8.8525E-1	-4.0600E+2
-6.7082E-2	8.8403E-1	-5.8100E+2
-6.5128E-2	8.8477E-1	-1.0260E+3
-6.3175E-2	8.8330E-1	-5.7000E+1
-6.1222E-2	8.8501E-1	-9.4600E+2
-5.9269E-2	8.8306E-1	1.2300E+2
-5.7071E-2	8.8330E-1	-2.1900E+2
-5.5118E-2	8.8428E-1	-5.2200E+2
-5.3165E-2	8.8159E-1	-2.2900E+2
-5.1212E-2	8.8281E-1	-3.9900E+2
-4.9258E-2	8.8281E-1	-7.7600E+2
-4.7061E-2	8.8184E-1	-7.2000E+1
-4.5108E-2	8.8281E-1	-5.3800E+2
-4.3154E-2	8.8232E-1	-4.9200E+2
-4.1201E-2	8.8306E-1	-4.3600E+2
-3.9248E-2	8.8306E-1	-3.5700E+2
-3.7295E-2	8.8110E-1	-1.8500E+2
-3.5097E-2	8.8184E-1	-3.6500E+2
-3.3144E-2	8.8354E-1	8.3000E+1
-3.1191E-2	8.8159E-1	1.1400E+2
-2.9238E-2	8.8159E-1	-1.9200E+2
-2.7284E-2	8.8184E-1	-3.8300E+2
-2.5087E-2	8.8135E-1	-5.7000E+1
-2.3134E-2	8.8208E-1	-7.1600E+2
-2.1180E-2	8.8062E-1	6.6000E+1
-1.9227E-2	8.8086E-1	-8.7800E+2
-1.7274E-2	8.7988E-1	-4.9900E+2
-1.5321E-2	8.8135E-1	-9.2200E+2
-1.3123E-2	8.7988E-1	-1.7000E+2
-1.1170E-2	8.8257E-1	-4.6100E+2
-9.2169E-3	8.7988E-1	-7.1800E+2
-7.2636E-3	8.8062E-1	7.3000E+1
-5.3104E-3	8.8062E-1	-4.1900E+2
-3.1130E-3	8.8062E-1	-2.8800E+2
-1.1597E-3	8.7964E-1	7.6400E+2
6.7143E-4	8.8013E-1	-3.7600E+2
2.6247E-3	8.8037E-1	-2.6900E+2
4.5779E-3	8.8037E-1	-3.3600E+2
6.5312E-3	8.7915E-1	-7.1100E+2
8.7286E-3	8.8037E-1	-1.3900E+2
1.0682E-2	8.7915E-1	1.4100E+2
1.2635E-2	8.7964E-1	-7.7600E+2
1.4588E-2	8.8159E-1	-8.8900E+2
1.6542E-2	8.7915E-1	-1.1700E+2
1.8739E-2	8.8013E-1	-3.5900E+2
2.0692E-2	8.7842E-1	-6.9200E+2
2.2645E-2	8.7793E-1	-7.6700E+2
2.4599E-2	8.7891E-1	-3.8500E+2
2.6552E-2	8.7646E-1	-6.1600E+2
2.8749E-2	8.7915E-1	-3.5000E+2
3.0703E-2	8.7866E-1	-1.7600E+2
3.2656E-2	8.7793E-1	-9.5000E+1
3.4609E-2	8.7866E-1	-5.0000E+2
3.6562E-2	8.7671E-1	-1.6300E+2
3.8516E-2	8.7817E-1	-3.8200E+2
4.0713E-2	8.7842E-1	1.2000E+1
4.2666E-2	8.7646E-1	-7.2000E+1
4.4619E-2	8.7842E-1	-3.3000E+2
4.6573E-2	8.7842E-1	-1.9400E+2
4.8526E-2	8.7671E-1	1.8000E+2
5.0723E-2	8.7622E-1	-7.9400E+2
5.2677E-2	8.7842E-1	-6.2700E+2
5.4630E-2	8.7769E-1	-6.9600E+2
5.6583E-2	8.7671E-1	-1.5000E+2
5.8536E-2	8.7793E-1	-2.8500E+2
6.0490E-2	8.7744E-1	-6.3100E+2
6.2687E-2	8.7598E-1	1.2900E+2
6.4640E-2	8.7646E-1	-1.4100E+2
6.6593E-2	8.7598E-1	-6.0500E+2
6.8547E-2	8.7524E-1	-8.7400E+2
7.0500E-2	8.7646E-1	-1.0020E+3
7.2697E-2	8.7573E-1	-5.6400E+2
7.4651E-2	8.7573E-1	4.2300E+2
7.6604E-2	8.7646E-1	-4.3600E+2
