Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
1.4216E-1	4.4604E-1	1.4216E-1	1.2030E+3
1.4216E-1	4.4629E-1	1.4216E-1	1.2300E+3
1.4228E-1	4.4531E-1	1.4228E-1	9.3500E+2
1.4240E-1	4.4458E-1	1.4240E-1	1.0320E+3
1.4253E-1	4.4678E-1	1.4253E-1	1.5740E+3
1.4253E-1	4.4531E-1	1.4253E-1	1.1520E+3
1.4265E-1	4.4287E-1	1.4265E-1	1.1610E+3
1.4277E-1	4.4604E-1	1.4277E-1	1.5050E+3
1.4277E-1	4.4604E-1	1.4277E-1	1.0370E+3
1.4289E-1	4.4287E-1	1.4289E-1	1.4080E+3
1.4301E-1	4.4458E-1	1.4301E-1	6.8400E+2
1.4314E-1	4.4409E-1	1.4314E-1	6.2700E+2
1.4314E-1	4.4385E-1	1.4314E-1	8.4600E+2
1.4326E-1	4.4482E-1	1.4326E-1	8.0500E+2
1.4338E-1	4.4458E-1	1.4338E-1	9.0200E+2
1.4338E-1	4.4409E-1	1.4338E-1	4.3200E+2
1.4350E-1	4.4458E-1	1.4350E-1	1.0770E+3
1.4362E-1	4.4263E-1	1.4362E-1	1.7200E+3
1.4362E-1	4.4409E-1	1.4362E-1	1.4250E+3
1.4375E-1	4.4336E-1	1.4375E-1	7.8700E+2
1.4387E-1	4.4482E-1	1.4387E-1	1.2300E+3
1.4399E-1	4.4385E-1	1.4399E-1	8.0900E+2
1.4399E-1	4.4336E-1	1.4399E-1	1.5090E+3
1.4411E-1	4.4482E-1	1.4411E-1	8.1300E+2
1.4423E-1	4.4360E-1	1.4423E-1	1.4940E+3
1.4423E-1	4.4458E-1	1.4423E-1	8.3600E+2
1.4436E-1	4.4458E-1	1.4436E-1	8.3000E+2
1.4448E-1	4.4312E-1	1.4448E-1	7.6600E+2
1.4448E-1	4.4434E-1	1.4448E-1	1.2500E+3
1.4460E-1	4.4214E-1	1.4460E-1	1.3670E+3
1.4472E-1	4.4409E-1	1.4472E-1	7.9000E+2
1.4485E-1	4.4238E-1	1.4485E-1	1.7210E+3
1.4485E-1	4.4238E-1	1.4485E-1	8.6600E+2
1.4497E-1	4.4238E-1	1.4497E-1	1.0970E+3
1.4509E-1	4.4214E-1	1.4509E-1	8.3100E+2
1.4509E-1	4.4263E-1	1.4509E-1	1.0660E+3
